district,fiscal_year,aea_flowthrough
Ankeny CSD,2020,5700576
Ankeny CSD,2021,5996871
Ankeny CSD,2022,6111251
Ankeny CSD,2023,6485389
Ankeny CSD,2024,6798814
Ankeny CSD,2025,6927065
Burlington CSD,2020,2215643
Burlington CSD,2021,2224371
Burlington CSD,2022,2215153
Burlington CSD,2023,2231657
Burlington CSD,2024,2247846
Burlington CSD,2025,2244859
Cedar Rapids CSD,2020,8713706
Cedar Rapids CSD,2021,8857025
Cedar Rapids CSD,2022,8826004
Cedar Rapids CSD,2023,8897651
Cedar Rapids CSD,2024,9100767
Cedar Rapids CSD,2025,9384582
College CSD (Prairie),2020,2529128
College CSD (Prairie),2021,2619264
College CSD (Prairie),2022,2623101
College CSD (Prairie),2023,2730150
College CSD (Prairie),2024,2820387
College CSD (Prairie),2025,2816274
Davenport CSD,2020,8169067
Davenport CSD,2021,8192514
Davenport CSD,2022,8164519
Davenport CSD,2023,8210934
Davenport CSD,2024,8223844
Davenport CSD,2025,8207801
Des Moines Independent CSD,2020,16611714
Des Moines Independent CSD,2021,16927010
Des Moines Independent CSD,2022,16908592
Des Moines Independent CSD,2023,16976503
Des Moines Independent CSD,2024,17335226
Des Moines Independent CSD,2025,17586214
Dubuque CSD,2020,5753890
Dubuque CSD,2021,5959598
Dubuque CSD,2022,5997504
Dubuque CSD,2023,6057986
Dubuque CSD,2024,6200582
Dubuque CSD,2025,6272997
Iowa City CSD,2020,7014848
Iowa City CSD,2021,7314203
Iowa City CSD,2022,7382443
Iowa City CSD,2023,7660460
Iowa City CSD,2024,7937307
Iowa City CSD,2025,8064107
Johnston CSD,2020,3357131
Johnston CSD,2021,3479272
Johnston CSD,2022,3536480
Johnston CSD,2023,3628108
Johnston CSD,2024,3745038
Johnston CSD,2025,3745875
Linn-Mar CSD,2020,3695530
Linn-Mar CSD,2021,3857334
Linn-Mar CSD,2022,3902241
Linn-Mar CSD,2023,4012413
Linn-Mar CSD,2024,4191253
Linn-Mar CSD,2025,4227261
Muscatine CSD,2020,2488273
Muscatine CSD,2021,2498935
Muscatine CSD,2022,2500698
Muscatine CSD,2023,2506675
Muscatine CSD,2024,2558395
Muscatine CSD,2025,2543315
Pleasant Valley CSD,2020,2395182
Pleasant Valley CSD,2021,2511571
Pleasant Valley CSD,2022,2622162
Pleasant Valley CSD,2023,2800715
Pleasant Valley CSD,2024,2952338
Pleasant Valley CSD,2025,3004884
Waterloo CSD,2020,6013516
Waterloo CSD,2021,6190211
Waterloo CSD,2022,6196304
Waterloo CSD,2023,6344107
Waterloo CSD,2024,6537963
Waterloo CSD,2025,6679380
Waukee CSD,2020,5341102
Waukee CSD,2021,5735223
Waukee CSD,2022,6034838
Waukee CSD,2023,6536503
Waukee CSD,2024,7068691
Waukee CSD,2025,7516243
West Des Moines CSD,2020,4417069
West Des Moines CSD,2021,4543333
West Des Moines CSD,2022,4578107
West Des Moines CSD,2023,4673792
West Des Moines CSD,2024,4774516
West Des Moines CSD,2025,4850547
